District,Gender,Locality,Age ,Percentage,Economic Activity,District in Map
RAHIM YAR KHAN DISTRICT,Male,Urban,40 - 44,3.66%,House Keeping,Rahim Yar Khan
RAHIM YAR KHAN DISTRICT,Male,Urban,45 - 49,3.86%,House Keeping,Rahim Yar Khan
RAHIM YAR KHAN DISTRICT,Male,Urban,50 - 54,4.17%,House Keeping,Rahim Yar Khan
RAHIM YAR KHAN DISTRICT,Male,Urban,55 - 59,5.58%,House Keeping,Rahim Yar Khan
RAHIM YAR KHAN DISTRICT,Male,Urban,60 - 64,9.60%,House Keeping,Rahim Yar Khan
RAHIM YAR KHAN DISTRICT,Male,Urban,65 - 69,12.65%,House Keeping,Rahim Yar Khan
RAHIM YAR KHAN DISTRICT,Male,Urban,70 - 74,17.18%,House Keeping,Rahim Yar Khan
RAHIM YAR KHAN DISTRICT,Male,Urban,75 & ABOVE,20.56%,House Keeping,Rahim Yar Khan
RAHIM YAR KHAN DISTRICT,Male,Urban,Between 10-14,4.72%,House Keeping,Rahim Yar Khan
RAHIM YAR KHAN DISTRICT,Transgender,Rural,10 & ABOVE,48.52%,House Keeping,Rahim Yar Khan
RAHIM YAR KHAN DISTRICT,Transgender,Rural,15 -  19,30.00%,House Keeping,Rahim Yar Khan
RAHIM YAR KHAN DISTRICT,Transgender,Rural,20 - 24,48.21%,House Keeping,Rahim Yar Khan
RAHIM YAR KHAN DISTRICT,Transgender,Rural,25 - 29,55.26%,House Keeping,Rahim Yar Khan
RAHIM YAR KHAN DISTRICT,Transgender,Rural,30 - 34,60.00%,House Keeping,Rahim Yar Khan
RAHIM YAR KHAN DISTRICT,Transgender,Rural,35 - 39,52.63%,House Keeping,Rahim Yar Khan
RAHIM YAR KHAN DISTRICT,Transgender,Rural,40 - 44,57.58%,House Keeping,Rahim Yar Khan
RAHIM YAR KHAN DISTRICT,Transgender,Rural,45 - 49,39.13%,House Keeping,Rahim Yar Khan
RAHIM YAR KHAN DISTRICT,Transgender,Rural,50 - 54,42.86%,House Keeping,Rahim Yar Khan
RAHIM YAR KHAN DISTRICT,Transgender,Rural,55 - 59,36.84%,House Keeping,Rahim Yar Khan
RAHIM YAR KHAN DISTRICT,Transgender,Rural,60 - 64,58.33%,House Keeping,Rahim Yar Khan
RAHIM YAR KHAN DISTRICT,Transgender,Rural,65 - 69,70.00%,House Keeping,Rahim Yar Khan
RAHIM YAR KHAN DISTRICT,Transgender,Rural,70 - 74,50.00%,House Keeping,Rahim Yar Khan
RAHIM YAR KHAN DISTRICT,Transgender,Rural,75 & ABOVE,38.46%,House Keeping,Rahim Yar Khan
RAHIM YAR KHAN DISTRICT,Transgender,Rural,Between 10-14,#DIV/0!,House Keeping,Rahim Yar Khan
RAHIM YAR KHAN DISTRICT,Transgender,Urban,10 & ABOVE,24.24%,House Keeping,Rahim Yar Khan
RAHIM YAR KHAN DISTRICT,Transgender,Urban,15 -  19,0.00%,House Keeping,Rahim Yar Khan
RAHIM YAR KHAN DISTRICT,Transgender,Urban,20 - 24,28.95%,House Keeping,Rahim Yar Khan
RAHIM YAR KHAN DISTRICT,Transgender,Urban,25 - 29,19.44%,House Keeping,Rahim Yar Khan
RAHIM YAR KHAN DISTRICT,Transgender,Urban,30 - 34,25.00%,House Keeping,Rahim Yar Khan
RAHIM YAR KHAN DISTRICT,Transgender,Urban,35 - 39,11.54%,House Keeping,Rahim Yar Khan
RAHIM YAR KHAN DISTRICT,Transgender,Urban,40 - 44,35.00%,House Keeping,Rahim Yar Khan
RAHIM YAR KHAN DISTRICT,Transgender,Urban,45 - 49,0.00%,House Keeping,Rahim Yar Khan
RAHIM YAR KHAN DISTRICT,Transgender,Urban,50 - 54,44.44%,House Keeping,Rahim Yar Khan
RAHIM YAR KHAN DISTRICT,Transgender,Urban,55 - 59,44.44%,House Keeping,Rahim Yar Khan
RAHIM YAR KHAN DISTRICT,Transgender,Urban,60 - 64,0.00%,House Keeping,Rahim Yar Khan
RAHIM YAR KHAN DISTRICT,Transgender,Urban,65 - 69,37.50%,House Keeping,Rahim Yar Khan
RAHIM YAR KHAN DISTRICT,Transgender,Urban,70 - 74,50.00%,House Keeping,Rahim Yar Khan
RAHIM YAR KHAN DISTRICT,Transgender,Urban,75 & ABOVE,50.00%,House Keeping,Rahim Yar Khan
RAHIM YAR KHAN DISTRICT,Transgender,Urban,Between 10-14,#DIV/0!,House Keeping,Rahim Yar Khan
RAJANPUR DISTRICT,Female,Rural,10 & ABOVE,0.00%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Female,Rural,15 -  19,77.70%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Female,Rural,20 - 24,86.74%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Female,Rural,25 - 29,89.65%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Female,Rural,30 - 34,90.16%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Female,Rural,35 - 39,90.51%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Female,Rural,40 - 44,90.27%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Female,Rural,45 - 49,90.15%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Female,Rural,50 - 54,89.85%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Female,Rural,55 - 59,88.91%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Female,Rural,60 - 64,86.45%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Female,Rural,65 - 69,85.32%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Female,Rural,70 - 74,0.00%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Female,Rural,75 & ABOVE,75.65%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Female,Rural,Between 10-14,58.75%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Female,Urban,10 & ABOVE,67.62%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Female,Urban,15 -  19,45.86%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Female,Urban,20 - 24,72.16%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Female,Urban,25 - 29,84.80%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Female,Urban,30 - 34,88.67%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Female,Urban,35 - 39,90.26%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Female,Urban,40 - 44,89.21%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Female,Urban,45 - 49,89.23%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Female,Urban,50 - 54,89.22%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Female,Urban,55 - 59,90.12%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Female,Urban,60 - 64,89.21%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Female,Urban,65 - 69,86.81%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Female,Urban,70 - 74,84.81%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Female,Urban,75 & ABOVE,78.88%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Female,Urban,Between 10-14,19.45%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Male,Rural,10 & ABOVE,19.78%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Male,Rural,15 -  19,21.38%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Male,Rural,20 - 24,19.23%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Male,Rural,25 - 29,19.34%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Male,Rural,30 - 34,18.02%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Male,Rural,35 - 39,18.14%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Male,Rural,40 - 44,17.33%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Male,Rural,45 - 49,17.15%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Male,Rural,50 - 54,17.75%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Male,Rural,55 - 59,21.99%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Male,Rural,60 - 64,20.53%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Male,Rural,65 - 69,22.02%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Male,Rural,70 - 74,23.98%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Male,Rural,75 & ABOVE,26.57%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Male,Rural,Between 10-14,21.05%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Male,Urban,10 & ABOVE,5.60%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Male,Urban,15 -  19,5.42%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Male,Urban,20 - 24,5.34%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Male,Urban,25 - 29,5.00%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Male,Urban,30 - 34,5.04%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Male,Urban,35 - 39,4.62%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Male,Urban,40 - 44,4.98%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Male,Urban,45 - 49,5.15%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Male,Urban,50 - 54,5.74%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Male,Urban,55 - 59,6.48%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Male,Urban,60 - 64,10.02%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Male,Urban,65 - 69,12.23%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Male,Urban,70 - 74,14.01%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Male,Urban,75 & ABOVE,17.56%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Male,Urban,Between 10-14,4.00%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Transgender,Rural,10 & ABOVE,60.00%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Transgender,Rural,15 -  19,46.67%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Transgender,Rural,20 - 24,50.00%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Transgender,Rural,25 - 29,63.16%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Transgender,Rural,30 - 34,64.71%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Transgender,Rural,35 - 39,61.11%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Transgender,Rural,40 - 44,88.89%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Transgender,Rural,45 - 49,88.89%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Transgender,Rural,50 - 54,66.67%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Transgender,Rural,55 - 59,50.00%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Transgender,Rural,60 - 64,33.33%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Transgender,Rural,65 - 69,100.00%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Transgender,Rural,70 - 74,40.00%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Transgender,Rural,75 & ABOVE,50.00%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Transgender,Rural,Between 10-14,#DIV/0!,House Keeping,Rajanpur
RAJANPUR DISTRICT,Transgender,Urban,10 & ABOVE,26.32%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Transgender,Urban,15 -  19,27.27%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Transgender,Urban,20 - 24,33.33%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Transgender,Urban,25 - 29,50.00%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Transgender,Urban,30 - 34,16.67%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Transgender,Urban,35 - 39,28.57%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Transgender,Urban,40 - 44,0.00%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Transgender,Urban,45 - 49,0.00%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Transgender,Urban,50 - 54,50.00%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Transgender,Urban,55 - 59,0.00%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Transgender,Urban,60 - 64,#DIV/0!,House Keeping,Rajanpur
RAJANPUR DISTRICT,Transgender,Urban,65 - 69,#DIV/0!,House Keeping,Rajanpur
RAJANPUR DISTRICT,Transgender,Urban,70 - 74,50.00%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Transgender,Urban,75 & ABOVE,0.00%,House Keeping,Rajanpur
RAJANPUR DISTRICT,Transgender,Urban,Between 10-14,#DIV/0!,House Keeping,Rajanpur
RAWALPINDI DISTRICT,Female,Rural,10 & ABOVE,68.92%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Female,Rural,15 -  19,32.76%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Female,Rural,20 - 24,68.38%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Female,Rural,25 - 29,83.55%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Female,Rural,30 - 34,87.75%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Female,Rural,35 - 39,89.30%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Female,Rural,40 - 44,89.90%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Female,Rural,45 - 49,91.16%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Female,Rural,50 - 54,91.72%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Female,Rural,55 - 59,92.13%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Female,Rural,60 - 64,91.29%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Female,Rural,65 - 69,89.69%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Female,Rural,70 - 74,86.00%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Female,Rural,75 & ABOVE,79.37%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Female,Rural,Between 10-14,8.24%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Female,Urban,10 & ABOVE,63.70%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Female,Urban,15 -  19,24.07%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Female,Urban,20 - 24,56.17%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Female,Urban,25 - 29,78.08%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Female,Urban,30 - 34,84.76%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Female,Urban,35 - 39,86.63%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Female,Urban,40 - 44,87.38%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Female,Urban,45 - 49,88.22%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Female,Urban,50 - 54,89.08%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Female,Urban,55 - 59,89.32%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Female,Urban,60 - 64,89.26%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Female,Urban,65 - 69,87.17%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Female,Urban,70 - 74,83.79%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Female,Urban,75 & ABOVE,80.83%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Female,Urban,Between 10-14,6.87%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Male,Rural,10 & ABOVE,9.51%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Male,Rural,15 -  19,5.09%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Male,Rural,20 - 24,7.46%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Male,Rural,25 - 29,7.09%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Male,Rural,30 - 34,6.94%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Male,Rural,35 - 39,7.08%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Male,Rural,40 - 44,7.90%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Male,Rural,45 - 49,9.25%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Male,Rural,50 - 54,11.59%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Male,Rural,55 - 59,15.27%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Male,Rural,60 - 64,24.01%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Male,Rural,65 - 69,29.29%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Male,Rural,70 - 74,33.38%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Male,Rural,75 & ABOVE,36.89%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Male,Rural,Between 10-14,2.59%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Male,Urban,10 & ABOVE,3.94%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Male,Urban,15 -  19,2.29%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Male,Urban,20 - 24,2.57%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Male,Urban,25 - 29,2.57%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Male,Urban,30 - 34,2.41%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Male,Urban,35 - 39,2.36%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Male,Urban,40 - 44,2.37%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Male,Urban,45 - 49,2.57%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Male,Urban,50 - 54,3.52%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Male,Urban,55 - 59,5.86%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Male,Urban,60 - 64,13.14%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Male,Urban,65 - 69,17.91%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Male,Urban,70 - 74,22.07%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Male,Urban,75 & ABOVE,25.88%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Male,Urban,Between 10-14,1.97%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Transgender,Rural,10 & ABOVE,47.39%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Transgender,Rural,15 -  19,21.05%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Transgender,Rural,20 - 24,56.25%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Transgender,Rural,25 - 29,60.00%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Transgender,Rural,30 - 34,46.88%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Transgender,Rural,35 - 39,44.12%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Transgender,Rural,40 - 44,20.00%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Transgender,Rural,45 - 49,66.67%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Transgender,Rural,50 - 54,50.00%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Transgender,Rural,55 - 59,85.71%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Transgender,Rural,60 - 64,54.55%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Transgender,Rural,65 - 69,25.00%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Transgender,Rural,70 - 74,40.00%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Transgender,Rural,75 & ABOVE,53.85%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Transgender,Rural,Between 10-14,#DIV/0!,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Transgender,Urban,10 & ABOVE,19.26%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Transgender,Urban,15 -  19,14.29%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Transgender,Urban,20 - 24,13.40%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Transgender,Urban,25 - 29,11.32%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Transgender,Urban,30 - 34,16.67%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Transgender,Urban,35 - 39,17.19%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Transgender,Urban,40 - 44,16.67%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Transgender,Urban,45 - 49,21.82%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Transgender,Urban,50 - 54,31.91%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Transgender,Urban,55 - 59,50.00%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Transgender,Urban,60 - 64,60.00%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Transgender,Urban,65 - 69,45.45%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Transgender,Urban,70 - 74,30.00%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Transgender,Urban,75 & ABOVE,50.00%,House Keeping,Rawalpindi
RAWALPINDI DISTRICT,Transgender,Urban,Between 10-14,#DIV/0!,House Keeping,Rawalpindi
SAHIWAL DISTRICT,Female,Rural,10 & ABOVE,74.74%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Female,Rural,15 -  19,57.62%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Female,Rural,20 - 24,80.75%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Female,Rural,25 - 29,88.86%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Female,Rural,30 - 34,90.95%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Female,Rural,35 - 39,91.01%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Female,Rural,40 - 44,90.91%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Female,Rural,45 - 49,90.87%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Female,Rural,50 - 54,90.82%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Female,Rural,55 - 59,90.42%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Female,Rural,60 - 64,87.90%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Female,Rural,65 - 69,85.05%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Female,Rural,70 - 74,80.62%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Female,Rural,75 & ABOVE,73.58%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Female,Rural,Between 10-14,25.86%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Female,Urban,10 & ABOVE,65.18%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Female,Urban,15 -  19,28.98%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Female,Urban,20 - 24,62.03%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Female,Urban,25 - 29,81.82%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Female,Urban,30 - 34,87.98%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Female,Urban,35 - 39,88.92%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Female,Urban,40 - 44,88.92%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Female,Urban,45 - 49,88.92%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Female,Urban,50 - 54,88.74%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Female,Urban,55 - 59,88.32%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Female,Urban,60 - 64,86.96%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Female,Urban,65 - 69,84.42%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Female,Urban,70 - 74,79.05%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Female,Urban,75 & ABOVE,73.89%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Female,Urban,Between 10-14,8.70%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Male,Rural,10 & ABOVE,10.56%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Male,Rural,15 -  19,9.44%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Male,Rural,20 - 24,10.89%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Male,Rural,25 - 29,10.89%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Male,Rural,30 - 34,10.56%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Male,Rural,35 - 39,10.34%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Male,Rural,40 - 44,10.56%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Male,Rural,45 - 49,10.68%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Male,Rural,50 - 54,11.11%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Male,Rural,55 - 59,12.46%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Male,Rural,60 - 64,14.28%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Male,Rural,65 - 69,15.56%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Male,Rural,70 - 74,17.95%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Male,Rural,75 & ABOVE,19.81%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Male,Rural,Between 10-14,6.54%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Male,Urban,10 & ABOVE,2.97%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Male,Urban,15 -  19,1.92%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Male,Urban,20 - 24,2.34%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Male,Urban,25 - 29,2.51%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Male,Urban,30 - 34,2.64%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Male,Urban,35 - 39,2.31%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Male,Urban,40 - 44,2.63%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Male,Urban,45 - 49,2.50%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Male,Urban,50 - 54,2.55%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Male,Urban,55 - 59,3.54%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Male,Urban,60 - 64,6.64%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Male,Urban,65 - 69,8.97%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Male,Urban,70 - 74,11.13%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Male,Urban,75 & ABOVE,14.71%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Male,Urban,Between 10-14,1.95%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Transgender,Rural,10 & ABOVE,44.09%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Transgender,Rural,15 -  19,57.89%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Transgender,Rural,20 - 24,25.81%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Transgender,Rural,25 - 29,42.86%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Transgender,Rural,30 - 34,38.10%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Transgender,Rural,35 - 39,46.67%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Transgender,Rural,40 - 44,25.00%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Transgender,Rural,45 - 49,33.33%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Transgender,Rural,50 - 54,66.67%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Transgender,Rural,55 - 59,70.00%,House Keeping,Sahiwal
SAHIWAL DISTRICT,Transgender,Rural,60 - 64,57.14%,House Keeping,Sahiwal
